id,type,is_local,location_x,location_y,cost,price,urgency_delay,rating
0,local,1,0.9951713469236144,0.9895277121441817,0.5999317268661878,0.752434654110894,,3.2787916111561155
1,local,1,0.8892002876214847,0.8067491592784194,0.6581909330697421,0.8241176995929355,,2.7997589865608514
2,local,1,0.18825457713167437,0.1446743941653682,0.6945993218453744,0.8257588317940436,,2.756746288660001
3,local,1,0.11444685377574149,0.9650881180973582,0.5975794241260763,0.8111176795460527,,3.228514652027699
4,local,1,0.19796375842275493,0.9385424310248227,0.6742315844888311,0.7640128834384011,,3.601880781250239
5,local,1,0.5776392440873311,0.29973984192785985,0.7039782964950956,0.9036012704537442,,2.7356362699297776
6,local,1,0.7541489270139907,0.28927765412476414,0.6785060080595112,0.6852060643453722,,3.1296591299178727
7,local,1,0.4276425420800066,0.392538909484884,0.5231267613088173,0.7339473825408732,,3.569988649362375
8,local,1,0.9556697231817542,0.3273176541861823,0.8214934127801912,1.0420020080015995,,2.722595933990783
9,local,1,0.8837775280166182,0.14582405397551879,0.6823336453845529,0.9234081685420978,,2.574078603000058
10,local,1,0.29668977368156146,0.7591402270920888,0.6586163588319913,0.7237435203825139,,3.6343815676361695
11,local,1,0.6473674826130695,0.7814261990666517,0.72070263204926,0.8984453141983443,,2.9341917168613016
12,local,1,0.014732731548087075,0.12156317368084102,0.7748302798284598,0.9172553899791996,,3.624935848441965
13,local,1,0.3067674656092457,0.4765754393673918,0.7661555629144077,0.9503621000299742,,3.4503283460738112
14,local,1,0.7110984303024702,0.6647844826882922,0.6406668677922446,0.8318659862021993,,3.4219429874351794
15,local,1,0.29660529279181536,0.6677379136710204,0.7394263101800689,0.8922181547446455,,3.200330838275035
16,local,1,0.39128464016397124,0.1950413340449093,0.5062248372992831,0.6488303425927306,,3.2358729224818936
17,local,1,0.42281939231759247,0.8453395273986019,0.666818350269436,0.8787921159226291,,3.5972988205793115
18,local,1,0.34787398867453667,0.009069005104097805,0.4706184402325038,0.6783020563964829,,4.057842498518856
19,local,1,0.6843394770834469,0.28085667318953045,0.6851691086203813,0.8631502581108543,,2.9143584742846365
20,local,1,0.8309879187067555,0.014082531628304529,0.6354105129732339,0.8111042625946521,,2.567585892048964
21,local,1,0.5123937288434242,0.26178437964398826,0.8784089804121872,1.0408708326230889,,3.0096872612505594
22,local,1,0.6255918551471102,0.5801720301392418,0.7173772035930392,0.8742216361860121,,3.441618638036578
23,local,1,0.9652105555366362,0.3331001560825656,0.9786232101142921,1.0873158855616605,,2.5154267630287803
24,local,1,0.9454100220690289,0.8203792485373209,0.8356539542580047,1.0292019748375014,,2.606062490947778
25,local,1,0.8827914445844105,0.4543211540109813,0.6187520782536813,0.7741251218361616,,3.5326001096110833
26,local,1,0.4251984919551346,0.13103222870847275,0.7871239890767983,1.0404126656049335,,2.964784275131386
27,local,1,0.47977175257392846,0.3121904462215219,0.7974814290970695,1.0269306637052473,,3.478109525011334
28,digital,0,,,0.756288736743564,0.981630984274428,0.42204547391813135,2.9207046391309905
29,digital,0,,,0.853719168116778,1.0161365558714548,0.570758996918376,2.815751028713354
30,digital,0,,,0.7689678050566524,0.9953741992337468,0.3310035742679062,3.680888797949871
31,digital,0,,,0.661558904021609,0.9026903495033761,0.5732444840507199,2.750441138487883
32,digital,0,,,0.7529630601338105,0.9341767537467704,0.7997171116793889,3.1542426040527807
33,digital,0,,,0.5865109234207186,0.7643361682890523,0.2817583852418381,3.294003046871707
34,digital,0,,,0.6856546053712993,0.8725678551241256,0.6778678712494035,4.14988546718357
35,digital,0,,,0.6521880151378894,0.8426095425037613,0.4559833802593161,2.5352934505728966
36,digital,0,,,0.7075254812614894,0.9951933876707764,0.4514655830925629,3.3013035556746506
37,digital,0,,,0.7315726115231547,0.8673885569847695,0.7104741637914329,3.3303116552530736
38,digital,0,,,0.7308216016823897,0.925455210866399,0.3827784706468213,4.052883311245435
39,digital,0,,,0.6614290001217982,0.8456040099778526,0.5587005485448121,2.9354498239499467
